Cmdline: /data/local/tmp/simpleperf record -e cpu-cycles -g --duration 10 --call-graph fp -o /data/local/tmp/perf_mbv2.data /data/local/tmp/benchmark/benchmark_inference --model mobilenetv2 --backend mnn --warmup 50 --runs 200
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 19871
Event count: 13450907503

Overhead  Command              Shared Object                                   Symbol
64.00%    benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopL2
5.19%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L16LoopW
4.97%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  __memcpy
2.99%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopE12L4
2.54%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             E1LoopL
2.34%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             StoreLH8
2.20%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L8LoopW
1.96%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             PostTreatLH8
1.71%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L1LoopW
1.05%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L4LoopW
0.86%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             AddBiasLH8
0.83%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopH
0.65%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L1
0.54%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             E4LoopL
0.39%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::ConvolutionTiledExecutor::turnIm2ColToBlitInfo(float const**, int*, int, int, MNN::ConvolutionCommon::Im2ColParameter const&, unsigned char const*, int)
0.35%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             void executeVec<VecBinaryAdd<MNN::Math::Vec<float, 4> >, MNN::Math::Vec<float, 4>, 4, float, float>(void*, void const*, void const*, int, int)
0.30%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]elf64_sym const* soinfo_do_lookup_impl<true>(char const*, version_info const*, soinfo**, SymbolLookupList const&)
0.29%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopE12L3
0.29%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             std::__ndk1::__function::__func<MNN::CPUConvolutionDepthwise::BasicFloatExecution::onResize(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_0, std::__ndk1::allocator<MNN::CPUConvolutionDepthwise::BasicFloatExecution::onResize(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_0>, void (unsigned char const*, unsigned char*, int)>::operator()(unsigned char const*&&, unsigned char*&&, int&&)
0.22%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::Pipeline::execute()
0.21%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             UpL3AreaLoop
0.20%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]soinfo::elf_lookup(SymbolName&, version_info const*) const
0.18%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f9186690]
0.17%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             End
0.17%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L16Loop
0.17%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             void MNN::poolingAvg<float, MNN::Math::Vec<float, 4>, 4>(float const*, int, int, float*, int, int, int, int, int, int, int, int, MNN::PoolPadType, MNN::AvgPoolCountType)
0.15%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             std::__ndk1::__function::__func<MNN::StrassenMatrixComputor::_generateTrivalMatMul(int, int, int, MNN::StrassenMatrixComputor::MatrixInfo const&, MNN::StrassenMatrixComputor::MatrixInfo const&, MNN::StrassenMatrixComputor::MatrixInfo const&, MNN::StrassenMatrixComputor::MatrixInfo const&, std::__ndk1::vector<float, std::__ndk1::allocator<float> > const&)::$_0, std::__ndk1::allocator<MNN::StrassenMatrixComputor::_generateTrivalMatMul(int, int, int, MNN::StrassenMatrixComputor::MatrixInfo const&, MNN::StrassenMatrixComputor::MatrixInfo const&, MNN::StrassenMatrixComputor::MatrixInfo const&, MNN::StrassenMatrixComputor::MatrixInfo const&, std::__ndk1::vector<float, std::__ndk1::allocator<float> > const&)::$_0>, void (int)>::operator()(int&&)
0.13%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L8
0.12%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopNumber
0.12%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e808e0]
0.12%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopE1L3
0.12%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  memset
0.11%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]calculate_gnu_hash_neon(char const*)
0.09%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L1Loop
0.08%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e8cf80]
0.08%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopE1L4
0.07%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f91a7a9c]
0.07%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]bool packed_relocate_impl<(RelocMode)1>(Relocator&, sleb128_decoder)
0.07%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L16
0.07%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L8Loop
0.07%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  je_free
0.07%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f9186f60]
0.06%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNNPackedMatMul
0.06%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e45bd8]
0.06%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e3c8c8]
0.05%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f91a7928]
0.05%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e80e64]
0.05%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  je_tcache_bin_flush_small
0.05%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d2939c]
0.05%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::Convolution1x1Strassen::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)
0.05%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  je_malloc
0.04%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]memcmp
0.04%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e3a664]
0.04%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L4Loop
0.04%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             LoopL
0.04%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e43fa8]
0.04%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f9186f44]
0.04%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  pthread_mutex_unlock
0.04%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNNDepthwiseConvFastKernel
0.04%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             std::__ndk1::__function::__func<MNN::DenseConvolutionTiledImpl::onResize(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_1, std::__ndk1::allocator<MNN::DenseConvolutionTiledImpl::onResize(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)::$_1>, void (int)>::operator()(int&&)
0.03%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]__strcmp_aarch64
0.03%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::StrassenMatrixComputor::onExecute(unsigned char const*, unsigned char const*, unsigned char const*, unsigned char*)
0.03%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  memcpy
0.03%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::ThreadPool::enqueue(std::__ndk1::pair<std::__ndk1::function<void (int)>, int>*, int)
0.03%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]elf64_sym const* soinfo_do_lookup_impl<false>(char const*, version_info const*, soinfo**, SymbolLookupList const&)
0.03%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d329d8]
0.03%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7ca8ef4]
0.03%     benchmark_inference  /apex/com.android.runtime/bin/linker64          [linker]find_libraries(android_namespace_t*, soinfo*, char const* const*, unsigned long, soinfo**, std::__1::vector<soinfo*, std::__1::allocator<soinfo*> >*, unsigned long, int, android_dlextinfo const*, bool, std::__1::vector<android_namespace_t*, std::__1::allocator<android_namespace_t*> >*)
0.03%     benchmark_inference  [kernel.kallsyms]                               [kernel.kallsyms][+ffffffa8f7e7af78]
0.03%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L4
0.03%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  arena_dalloc_bin_locked_impl
0.03%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  pthread_mutex_trylock
0.03%     benchmark_inference  /data/local/tmp/benchmark/benchmark_inference   utils::fill_random_float(float*, unsigned long, unsigned int)
0.03%     benchmark_inference  /apex/com.android.runtime/lib64/bionic/libc.so  pthread_getspecific
0.03%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d295b0]
0.03%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             L8LoopH
0.03%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b690]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libonnxruntime.so     libonnxruntime.so[+d4b5a8]
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             @plt
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             StoreLH4x8
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::CPUConvolutionDepthwise::FloatExecution::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)
0.02%     benchmark_inference  /data/local/tmp/benchmark/libMNN.so             MNN::CPUConvolutionDepthwise::BasicFloatExecution::onExecute(std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&, std::__ndk1::vector<MNN::Tensor*, std::__ndk1::allocator<MNN::Tensor*> > const&)
