op_name,backend,precision,mean_ms,min_ms,max_ms,std_ms
AdaptiveAvgPool,ncnn,fp32,0,0,0,0
AdaptiveAvgPool,mnn,fp32,0,0,0,0
Add,ncnn,fp32,0,0,0,0
Add,mnn,fp32,0,0,0,0
AvgPool2d_2x2_s2,ncnn,fp32,0,0,0,0
AvgPool2d_2x2_s2,mnn,fp32,0,0,0,0
BatchNorm2d,ncnn,fp32,0,0,0,0
BatchNorm2d,mnn,fp32,0,0,0,0
Conv2d_1x1_s1,ncnn,fp32,0,0,0,0
Conv2d_1x1_s1,mnn,fp32,0,0,0,0
Conv2d_3x3_s1,ncnn,fp32,0,0,0,0
Conv2d_3x3_s1,mnn,fp32,0,0,0,0
Conv2d_3x3_s2,ncnn,fp32,0,0,0,0
Conv2d_3x3_s2,mnn,fp32,0,0,0,0
ConvTranspose_2x2,ncnn,fp32,0,0,0,0
ConvTranspose_2x2,mnn,fp32,0,0,0,0
Conv_BN_ReLU,ncnn,fp32,0,0,0,0
Conv_BN_ReLU,mnn,fp32,0,0,0,0
DWConv_PWConv,ncnn,fp32,0,0,0,0
DWConv_PWConv,mnn,fp32,0,0,0,0
DepthwiseConv_3x3_s1,ncnn,fp32,0,0,0,0
DepthwiseConv_3x3_s1,mnn,fp32,0,0,0,0
Div,ncnn,fp32,0,0,0,0
Div,mnn,fp32,0,0,0,0
ElementWise_Pow,ncnn,fp32,0,0,0,0
ElementWise_Pow,mnn,fp32,0,0,0,0
Exp,ncnn,fp32,0,0,0,0
Exp,mnn,fp32,0,0,0,0
GELU,ncnn,fp32,0,0,0,0
GELU,mnn,fp32,0,0,0,0
Hardswish,ncnn,fp32,0,0,0,0
Hardswish,mnn,fp32,0,0,0,0
InstanceNorm2d,ncnn,fp32,0,0,0,0
InstanceNorm2d,mnn,fp32,0,0,0,0
LayerNorm,ncnn,fp32,0,0,0,0
LayerNorm,mnn,fp32,0,0,0,0
LeakyReLU,ncnn,fp32,0,0,0,0
LeakyReLU,mnn,fp32,0,0,0,0
Linear_1024_1024,ncnn,fp32,0,0,0,0
Linear_1024_1024,mnn,fp32,0,0,0,0
Linear_512_512,ncnn,fp32,0,0,0,0
Linear_512_512,mnn,fp32,0,0,0,0
MaxPool2d_2x2_s2,ncnn,fp32,0,0,0,0
MaxPool2d_2x2_s2,mnn,fp32,0,0,0,0
Mul,ncnn,fp32,0,0,0,0
Mul,mnn,fp32,0,0,0,0
PReLU,ncnn,fp32,0,0,0,0
PReLU,mnn,fp32,0,0,0,0
ReLU,ncnn,fp32,0,0,0,0
ReLU,mnn,fp32,0,0,0,0
ReLU6,ncnn,fp32,0,0,0,0
ReLU6,mnn,fp32,0,0,0,0
ReduceMean_Spatial,ncnn,fp32,0,0,0,0
ReduceMean_Spatial,mnn,fp32,0,0,0,0
ReduceSum_Spatial,ncnn,fp32,0,0,0,0
ReduceSum_Spatial,mnn,fp32,0,0,0,0
ReflectionPad2d,ncnn,fp32,0,0,0,0
ReflectionPad2d,mnn,fp32,0,0,0,0
Reshape_Flatten,ncnn,fp32,0,0,0,0
Reshape_Flatten,mnn,fp32,0,0,0,0
Sigmoid,ncnn,fp32,0,0,0,0
Sigmoid,mnn,fp32,0,0,0,0
Softmax,ncnn,fp32,0,0,0,0
Softmax,mnn,fp32,0,0,0,0
Sqrt,ncnn,fp32,0,0,0,0
Sqrt,mnn,fp32,0,0,0,0
Tanh,ncnn,fp32,0,0,0,0
Tanh,mnn,fp32,0,0,0,0
Upsample_Bilinear,ncnn,fp32,0,0,0,0
Upsample_Bilinear,mnn,fp32,0,0,0,0
Upsample_Nearest,ncnn,fp32,0,0,0,0
Upsample_Nearest,mnn,fp32,0,0,0,0
ZeroPad2d,ncnn,fp32,0,0,0,0
ZeroPad2d,mnn,fp32,0,0,0,0
