op,backend,mean_ms,min_ms,max_ms,std_ms
AdaptiveAvgPool,ncnn,0.013,0.013,0.014,0.000
AdaptiveAvgPool,mnn,0.024,0.019,0.218,0.028
AdaptiveAvgPool,onnxrt,0,0,0,0
Add,ncnn,0.132,0.118,0.301,0.034
Add,mnn,0.142,0.123,0.263,0.035
Add,onnxrt,0,0,0,0
AvgPool2d_2x2_s2,ncnn,0.528,0.231,1.287,0.194
AvgPool2d_2x2_s2,mnn,0.475,0.446,0.827,0.066
AvgPool2d_2x2_s2,onnxrt,0,0,0,0
BatchNorm2d,ncnn,0.156,0.134,0.546,0.060
BatchNorm2d,mnn,0.290,0.258,0.851,0.086
BatchNorm2d,onnxrt,0,0,0,0
Conv2d_1x1_s1,ncnn,0.196,0.172,0.603,0.076
Conv2d_1x1_s1,mnn,0.963,0.730,1.522,0.299
Conv2d_1x1_s1,onnxrt,0,0,0,0
Conv2d_3x3_s1,ncnn,0.270,0.242,0.675,0.081
Conv2d_3x3_s1,mnn,2.276,2.103,2.599,0.107
Conv2d_3x3_s1,onnxrt,0,0,0,0
Conv2d_3x3_s2,ncnn,0.258,0.237,0.453,0.045
Conv2d_3x3_s2,mnn,1.352,1.295,2.585,0.186
Conv2d_3x3_s2,onnxrt,0,0,0,0
ConvTranspose_2x2,ncnn,0,0,0,0
ConvTranspose_2x2,mnn,1.290,1.024,1.487,0.108
ConvTranspose_2x2,onnxrt,0,0,0,0
Conv_BN_ReLU,ncnn,0.249,0.138,0.526,0.066
Conv_BN_ReLU,mnn,2.296,2.028,2.562,0.137
Conv_BN_ReLU,onnxrt,0,0,0,0
DWConv_PWConv,ncnn,0.528,0.267,1.022,0.169
DWConv_PWConv,mnn,0.996,0.819,2.023,0.350
DWConv_PWConv,onnxrt,0,0,0,0
DepthwiseConv_3x3_s1,ncnn,0.666,0.364,1.225,0.230
DepthwiseConv_3x3_s1,mnn,0.682,0.467,1.189,0.290
DepthwiseConv_3x3_s1,onnxrt,0,0,0,0
Div,ncnn,0.336,0.299,1.030,0.113
Div,mnn,0.244,0.188,0.721,0.098
Div,onnxrt,0,0,0,0
ElementWise_Pow,ncnn,0.789,0.204,1.793,0.405
ElementWise_Pow,mnn,0.147,0.122,0.693,0.083
ElementWise_Pow,onnxrt,0,0,0,0
Exp,ncnn,0.252,0.234,0.632,0.058
Exp,mnn,0.432,0.373,1.026,0.116
Exp,onnxrt,0,0,0,0
GELU,ncnn,0.580,0.313,1.593,0.496
GELU,mnn,0.586,0.259,1.598,0.513
GELU,onnxrt,0,0,0,0
Hardswish,ncnn,0.302,0.239,0.628,0.093
Hardswish,mnn,0.309,0.285,0.514,0.048
Hardswish,onnxrt,0,0,0,0
InstanceNorm2d,ncnn,0.468,0.190,0.819,0.105
InstanceNorm2d,mnn,0.326,0.289,0.573,0.060
InstanceNorm2d,onnxrt,0,0,0,0
LayerNorm,ncnn,0,0,0,0
LayerNorm,mnn,0.123,0.001,2.112,0.484
LayerNorm,onnxrt,0,0,0,0
LeakyReLU,ncnn,0.254,0.153,1.240,0.186
LeakyReLU,mnn,0.138,0.115,0.376,0.051
LeakyReLU,onnxrt,0,0,0,0
Linear_1024_1024,ncnn,0.528,0.207,0.748,0.120
Linear_1024_1024,mnn,0.472,0.167,2.678,0.346
Linear_1024_1024,onnxrt,0,0,0,0
Linear_512_512,ncnn,0.111,0.086,0.259,0.032
Linear_512_512,mnn,0.122,0.109,0.321,0.035
Linear_512_512,onnxrt,0,0,0,0
MaxPool2d_2x2_s2,ncnn,0.318,0.277,0.633,0.072
MaxPool2d_2x2_s2,mnn,0.346,0.314,0.591,0.065
MaxPool2d_2x2_s2,onnxrt,0,0,0,0
Mul,ncnn,0.154,0.116,0.539,0.069
Mul,mnn,0.138,0.122,0.284,0.030
Mul,onnxrt,0,0,0,0
PReLU,ncnn,0.317,0.159,0.921,0.139
PReLU,mnn,0.312,0.266,0.812,0.115
PReLU,onnxrt,0,0,0,0
ReLU,ncnn,0.290,0.221,1.351,0.190
ReLU,mnn,0.139,0.119,0.288,0.039
ReLU,onnxrt,0,0,0,0
ReLU6,ncnn,0.265,0.229,0.739,0.098
ReLU6,mnn,0.151,0.118,0.803,0.101
ReLU6,onnxrt,0,0,0,0
ReduceMean_Spatial,ncnn,0.110,0.075,0.543,0.088
ReduceMean_Spatial,mnn,0.271,0.248,0.412,0.040
ReduceMean_Spatial,onnxrt,0,0,0,0
ReduceSum_Spatial,ncnn,0.093,0.084,0.173,0.018
ReduceSum_Spatial,mnn,0.191,0.146,0.522,0.086
ReduceSum_Spatial,onnxrt,0,0,0,0
ReflectionPad2d,ncnn,0.133,0.111,0.524,0.074
ReflectionPad2d,mnn,0.061,0.057,0.073,0.003
ReflectionPad2d,onnxrt,0,0,0,0
Reshape_Flatten,ncnn,0.063,0.020,0.467,0.086
Reshape_Flatten,mnn,0.084,0.002,2.061,0.393
Reshape_Flatten,onnxrt,0,0,0,0
Sigmoid,ncnn,0.515,0.210,1.250,0.166
Sigmoid,mnn,0.521,0.488,0.747,0.052
Sigmoid,onnxrt,0,0,0,0
Softmax,ncnn,0.005,0.005,0.005,0.000
Softmax,mnn,0.041,0.002,1.959,0.274
Softmax,onnxrt,0,0,0,0
Sqrt,ncnn,0.328,0.167,0.751,0.128
Sqrt,mnn,0.309,0.115,0.905,0.120
Sqrt,onnxrt,0,0,0,0
Tanh,ncnn,0.530,0.237,1.161,0.195
Tanh,mnn,0.555,0.503,0.966,0.099
Tanh,onnxrt,0,0,0,0
Upsample_Bilinear,ncnn,0.538,0.250,1.118,0.207
Upsample_Bilinear,mnn,0.607,0.259,1.608,0.271
Upsample_Bilinear,onnxrt,0,0,0,0
Upsample_Nearest,ncnn,0.545,0.253,0.773,0.183
Upsample_Nearest,mnn,0.642,0.302,1.141,0.214
Upsample_Nearest,onnxrt,0,0,0,0
ZeroPad2d,ncnn,0.138,0.108,0.580,0.087
ZeroPad2d,mnn,0.049,0.043,0.067,0.003
ZeroPad2d,onnxrt,0,0,0,0
